Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_class_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_class_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_class_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_class_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_order_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_order_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_order_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_order_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_order_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_order_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_order_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_order_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_order_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_order_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_family_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_family_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_family_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_family_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_family_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_family_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_family_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_family_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_family_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_family_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_genus_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_genus_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_genus_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_genus_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_genus_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_genus_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_genus_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_species_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_species_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_species_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_species_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_species_3	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_species_2	{}
Subsample:0408-FW303.11.2.20.13.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_species_1	{}
Subsample:0408-FW303.11.2.20.13.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_esv_2	{}
Sample:0408-FW410.28.46.11.13.12	Subsample:0408-FW410.28.46.11.13.12.02	{'weight': 1}
Sample:0408-FW410.28.46.11.13.12	Subsample:0408-FW410.28.46.11.13.12.10	{'weight': 1}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_phylum_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_class_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_order_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_family_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_genus_4	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_species_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_esv_11	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_FPT_Cluster:All Samples_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_FPT_Cluster:100 Well: 02 Micron Filter_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_PC2_Cluster:All Samples_54	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_PC2_Cluster:100 Well: 02 Micron Filter_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Sample_Meas_Cluster:100 Well_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_phylum_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_phylum_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_phylum_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_phylum_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_phylum_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_phylum_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_phylum_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_phylum_4	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_phylum_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_phylum_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_phylum_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB106_phylum_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB106_phylum_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB106_phylum_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_class_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_class_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_class_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_class_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_order_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_order_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_order_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_order_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_order_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_order_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_order_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_order_4	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_order_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_order_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: EB271_order_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_family_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_family_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_family_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_family_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_genus_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_species_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_species_4	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_species_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_species_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 10 Micron Filter_species_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_species_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_species_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 02 Micron Filter_species_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_species_3	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_species_2	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Spring Sampling: 01 Micron Filter_species_1	{}
Subsample:0408-FW410.28.46.11.13.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_esv_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_Taxon_Cluster:100 Well: 10 Micron Filter_phylum_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_Taxon_Cluster:100 Well: 10 Micron Filter_class_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_Taxon_Cluster:100 Well: 10 Micron Filter_order_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_Taxon_Cluster:100 Well: 10 Micron Filter_family_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_Taxon_Cluster:100 Well: 10 Micron Filter_genus_6	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_Taxon_Cluster:100 Well: 10 Micron Filter_species_55	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_Taxon_Cluster:100 Well: 10 Micron Filter_esv_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_FPT_Cluster:All Samples_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_FPT_Cluster:100 Well: 10 Micron Filter_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_PC2_Cluster:All Samples_164	{}
Subsample:0408-FW410.28.46.11.13.12.10	Sample_PC2_Cluster:100 Well: 10 Micron Filter_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_phylum_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_phylum_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_phylum_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_phylum_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_phylum_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_phylum_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_phylum_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_phylum_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_phylum_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_class_4	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_class_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_class_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_class_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_class_4	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_class_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_class_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_class_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_class_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_class_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_class_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_order_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_order_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_order_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_order_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_order_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_order_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_order_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_order_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_order_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB106_order_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB106_order_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB106_order_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_family_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_family_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 10 Micron Filter_family_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_family_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_family_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_family_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB106_family_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB106_family_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB106_family_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_genus_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_genus_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_genus_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_genus_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_genus_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_genus_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_genus_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_genus_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_genus_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_species_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_species_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 02 Micron Filter_species_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_species_4	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_species_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_species_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Spring Sampling: 01 Micron Filter_species_1	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_species_3	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_species_2	{}
Subsample:0408-FW410.28.46.11.13.12.10	Exp1_Exp2_Cluster:100 Well: 10 Micron Filter_Pilot Project: EB271_species_1	{}
Sample:0408-FW510.26.11.26.12	Subsample:0408-FW510.26.11.26.12.02	{'weight': 1}
Sample:0408-FW510.26.11.26.12	Subsample:0408-FW510.26.11.26.12.10	{'weight': 1}
Subsample:0408-FW510.26.11.26.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_phylum_2	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_class_2	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_order_2	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_family_2	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_genus_4	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_species_3	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_Taxon_Cluster:100 Well: 02 Micron Filter_esv_11	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_FPT_Cluster:All Samples_3	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_FPT_Cluster:100 Well: 02 Micron Filter_1	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_PC2_Cluster:All Samples_187	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_PC2_Cluster:100 Well: 02 Micron Filter_17	{}
Subsample:0408-FW510.26.11.26.12.02	Sample_Meas_Cluster:100 Well_3	{}
Subsample:0408-FW510.26.11.26.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_phylum_2	{}
Subsample:0408-FW510.26.11.26.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_phylum_3	{}
Subsample:0408-FW510.26.11.26.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_phylum_2	{}
Subsample:0408-FW510.26.11.26.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_phylum_1	{}
Subsample:0408-FW510.26.11.26.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_class_1	{}
Subsample:0408-FW510.26.11.26.12.02	Exp2_Exp1_Cluster:100 Well: 10 Micron Filter_100 Well: 02 Micron Filter_order_1	{}
Subsample:0408-FW510.26.11.26.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_order_3	{}
Subsample:0408-FW510.26.11.26.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_order_2	{}
Subsample:0408-FW510.26.11.26.12.02	Exp1_Exp2_Cluster:100 Well: 02 Micron Filter_Pilot Project: Groundwater Activity_order_1	{}
